OG	Dmel_ISO1_proteome	Dsan_STOCAGO1482_proteome	Dsim_w501_proteome	Dtei_GT53w_proteome	Dyak_NY73PB_proteome	Dyak_Tai18E2_proteome
OG0003797	FBtr0087400	jg5851.t1	FBtr0225541	jg11774.t1	jg9589.t1	jg6574.t1
OG0003798	FBtr0087368	jg5854.t1	FBtr0211014	jg11771.t1	jg9586.t1	jg6571.t1
OG0003799	FBtr0087399	jg5853.t1	FBtr0225540	jg11772.t1	jg9587.t1	jg6572.t1
OG0003800	FBtr0087398	jg5855.t1	FBtr0225539	jg11770.t1	jg9585.t1	jg6570.t1
OG0003801	FBtr0339077	jg5858.t1	FBtr0352673	jg11766.t1	jg9580.t1	jg6565.t1
OG0003802	FBtr0087394	jg5859.t1	FBtr0225535	jg11765.t1	jg9579.t1	jg6564.t1
OG0003803	FBtr0087392	jg5860.t1	FBtr0225534	jg11764.t1	jg9578.t1	jg6563.t1
OG0003804	FBtr0087373	jg5861.t1	FBtr0352346	jg11763.t2	jg9577.t2	jg6562.t1
OG0003805	FBtr0087391	jg5862.t1	FBtr0225533	jg11762.t1	jg9576.t1	jg6561.t1
OG0003806	FBtr0087375	jg5863.t1	FBtr0211018	jg11761.t1	jg9575.t1	jg6560.t1
OG0003807	FBtr0114456	jg5865.t1	FBtr0353227	jg11757.t1	jg9572.t1	jg6557.t1
OG0003808	FBtr0087382	jg5866.t1	FBtr0363077	jg11756.t1	jg9570.t1	jg5640.t1
OG0003809	FBtr0087388	jg5867.t1	FBtr0225529	jg11755.t1	jg9569.t1	jg5641.t1
OG0003810	FBtr0087387	jg5868.t1	FBtr0225528	jg11754.t1	jg9568.t1	jg5642.t1
OG0003811	FBtr0330628	jg5869.t1	FBtr0349002	jg11751.t1	jg9567.t1	jg5643.t1
OG0003812	FBtr0340003	jg5876.t1	FBtr0225526	jg11744.t1	jg9559.t1	jg5650.t1
OG0003813	FBtr0273307	jg5877.t1	FBtr0353771	jg11743.t1	jg9558.t1	jg5651.t1
OG0003814	FBtr0087331	jg5883.t1	FBtr0211032	jg11738.t1	jg9552.t1	jg5659.t1
OG0003815	FBtr0329957	jg5884.t1	FBtr0350790	jg11737.t1	jg9551.t1	jg5660.t2
OG0003816	FBtr0087334	jg5886.t1	FBtr0360319	jg11735.t1	jg9549.t1	jg5662.t1
OG0003817	FBtr0087355	jg5887.t1	FBtr0355688	jg11734.t1	jg9548.t1	jg5663.t1
OG0003818	FBtr0087336	jg5889.t1	FBtr0211037	jg11732.t1	jg9546.t1	jg5665.t1
OG0003819	FBtr0087354	jg5890.t1	FBtr0225522	jg11731.t1	jg9545.t1	jg5666.t1
OG0003820	FBtr0306569	jg5891.t1	FBtr0352607	jg11729.t1	jg9543.t1	jg5669.t1
OG0003821	FBtr0087353	jg5892.t1	FBtr0363146	jg11728.t1	jg9542.t1	jg5670.t1
OG0003822	FBtr0087352	jg5893.t1	FBtr0225520	jg11727.t1	jg9541.t1	jg5671.t1
OG0003823	FBtr0087350	jg5894.t1	FBtr0225519	jg11726.t1	jg9540.t1	jg5672.t1
OG0003824	FBtr0087349	jg5896.t1	FBtr0354814	jg11725.t1	jg9539.t1	jg5673.t1
OG0003825	FBtr0087343	jg5903.t1	FBtr0355322	jg11719.t1	jg9534.t1	jg5677.t1
OG0003826	FBtr0087342	jg5904.t1	FBtr0225516	jg11718.t1	jg9533.t1	jg5678.t1
OG0003827	FBtr0087341	jg5905.t1	FBtr0225515	jg11717.t1	jg9532.t1	jg5679.t1
OG0003828	FBtr0087278	jg5906.t1	FBtr0211042	jg11715.t1	jg9531.t1	jg5680.t1
OG0003829	FBtr0087320	jg5907.t1	FBtr0225513	jg11713.t1	jg9530.t1	jg5681.t1
OG0003830	FBtr0087319	jg5914.t1	FBtr0225511	jg11703.t1	jg9525.t1	jg5689.t1
OG0003831	FBtr0100388	jg5918.t1	FBtr0350850	jg11699.t1	jg9523.t1	jg5693.t1
OG0003832	FBtr0301048	jg5919.t1	FBtr0353168	jg11697.t1	jg9522.t1	jg5694.t1
OG0003833	FBtr0087311	jg5921.t1	FBtr0225505	jg11696.t1	jg9520.t1	jg5696.t1
OG0003834	FBtr0087310	jg5924.t1	FBtr0225504	jg11693.t1	jg9519.t2	jg5697.t1
OG0003835	FBtr0087287	jg5925.t1	FBtr0211050	jg11692.t1	jg9518.t1	jg5698.t1
OG0003836	FBtr0308816	jg5926.t1	FBtr0351514	jg11691.t1	jg9517.t1	jg5699.t1
OG0003837	FBtr0087307	jg5927.t1	FBtr0351357	jg11690.t1	jg9516.t1	jg5700.t1
OG0003838	FBtr0087306	jg5929.t1	FBtr0225502	jg11687.t1	jg9514.t1	jg5701.t1
OG0003839	FBtr0330734	jg5930.t1	FBtr0225500	jg11684.t1	jg9513.t1	jg5702.t1
OG0003840	FBtr0087298	jg5931.t2	FBtr0225498	jg11682.t2	jg9512.t1	jg5704.t1
OG0003841	FBtr0087296	jg5932.t1	FBtr0225497	jg11681.t1	jg9511.t1	jg5705.t1
OG0003842	FBtr0087290	jg5933.t1	FBtr0211054	jg11680.t1	jg9510.t1	jg5706.t1
OG0003843	FBtr0087295	jg5934.t2	FBtr0347624	jg11679.t2	jg9509.t1	jg5707.t1
OG0003844	FBtr0087291	jg5935.t1	FBtr0225494	jg11678.t1	jg9508.t1	jg5708.t1
OG0003845	FBtr0114558	jg5936.t1	FBtr0211056	jg11675.t1	jg9507.t1	jg5710.t1
OG0003846	FBtr0087201	jg5938.t1	FBtr0211057	jg11673.t1	jg9505.t1	jg5712.t1
OG0003847	FBtr0087268	jg5941.t1	FBtr0225489	jg11666.t1	jg9501.t1	jg5714.t1
OG0003848	FBtr0087267	jg5942.t1	FBtr0225488	jg11665.t1	jg9500.t1	jg5715.t1
OG0003849	FBtr0087202	jg5943.t1	FBtr0211058	jg11664.t1	jg9499.t1	jg5716.t1
OG0003850	FBtr0300596	jg5944.t1	FBtr0354349	jg11663.t1	jg9498.t1	jg5717.t1
OG0003851	FBtr0087203	jg5945.t1	FBtr0356247	jg11662.t1	jg9497.t1	jg5718.t1
OG0003852	FBtr0087264	jg5946.t1	FBtr0225486	jg11661.t1	jg9496.t1	jg5719.t1
OG0003853	FBtr0087263	jg5947.t1	FBtr0225485	jg11660.t1	jg9495.t1	jg5720.t1
OG0003854	FBtr0087204	jg5948.t1	FBtr0211060	jg11659.t1	jg9494.t1	jg5721.t1
OG0003855	FBtr0087262	jg5949.t1	FBtr0359239	jg11658.t1	jg9493.t1	jg5722.t1
OG0003856	FBtr0087206	jg5950.t1	FBtr0360522	jg11657.t1	jg9492.t1	jg5723.t1
OG0003857	FBtr0087261	jg5951.t1	FBtr0361213	jg11656.t1	jg9491.t1	jg5724.t1
OG0003858	FBtr0340018	jg5952.t1	FBtr0348917	jg11655.t1	jg9490.t1	jg5725.t1
OG0003859	FBtr0087259	jg5953.t1	FBtr0225483	jg11654.t1	jg9489.t1	jg5726.t1
OG0003860	FBtr0301196	jg5954.t1	FBtr0349641	jg11653.t1	jg9488.t1	jg5727.t1
OG0003861	FBtr0087209	jg5955.t1	FBtr0349686	jg11652.t1	jg9487.t1	jg5728.t1
OG0003862	FBtr0087210	jg5956.t1	FBtr0355909	jg11651.t1	jg9486.t1	jg5729.t1
OG0003863	FBtr0306238	jg5959.t1	FBtr0357753	jg11650.t1	jg9485.t1	jg5732.t1
OG0003864	FBtr0111011	jg5960.t1	FBtr0350892	jg11649.t1	jg9483.t1	jg5733.t1
OG0003865	FBtr0087255	jg5961.t1	FBtr0350917	jg11648.t1	jg9482.t1	jg5734.t1
OG0003866	FBtr0087211	jg5962.t1	FBtr0211068	jg11647.t1	jg9481.t1	jg5735.t1
OG0003867	FBtr0087254	jg5963.t1	FBtr0225479	jg11646.t1	jg9480.t1	jg5736.t1
OG0003868	FBtr0336734	jg5964.t2	FBtr0354842	jg11645.t2	jg9479.t1	jg5737.t1
OG0003869	FBtr0087222	jg5965.t1	FBtr0211070	jg11644.t1	jg9478.t1	jg5738.t1
OG0003870	FBtr0087223	jg5966.t1	FBtr0211071	jg11643.t1	jg9477.t1	jg5739.t1
OG0003871	FBtr0087236	jg5978.t1	FBtr0211078	jg6801.t1	jg9466.t1	jg5751.t1
OG0003872	FBtr0087247	jg5979.t1	FBtr0225472	jg6802.t1	jg9465.t1	jg5752.t1
OG0003873	FBtr0087242	jg5980.t1	FBtr0211080	jg6803.t1	jg9464.t1	jg5753.t1
OG0003874	FBtr0087245	jg5981.t1	FBtr0225471	jg6805.t1	jg9463.t1	jg5754.t1
OG0003875	FBtr0339085	jg5982.t1	FBtr0211081	jg6806.t2	jg9462.t1	jg5755.t1
OG0003876	FBtr0303860	jg5983.t1	FBtr0359096	jg6807.t1	jg9461.t1	jg5756.t1
OG0003877	FBtr0339086	jg5984.t1	FBtr0211083	jg6808.t1	jg9460.t1	jg5757.t1
OG0003878	FBtr0087244	jg5985.t1	FBtr0365342	jg6809.t1	jg9459.t1	jg5758.t1
OG0003879	FBtr0113084	jg5986.t1	FBtr0225469	jg6810.t1	jg9458.t1	jg5759.t1
OG0003880	FBtr0087192	jg5987.t1	FBtr0348975	jg6811.t1	jg9457.t1	jg5760.t1
OG0003881	FBtr0087191	jg5988.t1	FBtr0225467	jg6812.t1	jg9456.t1	jg5761.t1
OG0003882	FBtr0087130	jg5989.t1	FBtr0211084	jg6813.t1	jg9455.t1	jg5762.t1
OG0003883	FBtr0087132	jg5992.t1	FBtr0215343	jg6815.t1	jg9453.t1	jg5764.t1
OG0003884	FBtr0087189	jg5993.t1	FBtr0352159	jg6816.t1	jg9452.t1	jg5765.t1
OG0003885	FBtr0087188	jg5994.t1	FBtr0225466	jg6817.t1	jg9451.t1	jg5766.t1
OG0003886	FBtr0302925	jg5995.t1	FBtr0362815	jg6819.t1	jg9450.t1	jg5767.t1
OG0003887	FBtr0089871	jg5996.t1	FBtr0364678	jg6822.t1	jg9449.t1	jg5769.t1
OG0003888	FBtr0087184	jg5997.t1	FBtr0349915	jg6823.t1	jg9448.t1	jg5770.t1
OG0003889	FBtr0087135	jg5998.t1	FBtr0363556	jg6824.t1	jg9447.t1	jg5771.t1
OG0003890	FBtr0087183	jg5999.t1	FBtr0365291	jg6828.t1	jg9446.t1	jg5772.t1
OG0003891	FBtr0087137	jg6000.t1	FBtr0211090	jg6830.t1	jg9444.t1	jg5774.t1
OG0003892	FBtr0087182	jg6001.t1	FBtr0225460	jg6831.t1	jg9443.t1	jg5775.t1
OG0003893	FBtr0087181	jg6002.t1	FBtr0225459	jg6832.t1	jg9442.t1	jg5776.t1
OG0003894	FBtr0087139	jg6003.t1	FBtr0363546	jg6834.t1	jg9440.t1	jg5778.t1
OG0003895	FBtr0087140	jg6005.t1	FBtr0349560	jg6836.t1	jg9439.t1	jg5779.t1
OG0003896	FBtr0087179	jg6006.t1	FBtr0348863	jg6837.t1	jg9438.t1	jg5780.t1
OG0003897	FBtr0329958	jg6007.t1	FBtr0211093	jg6838.t1	jg9437.t1	jg5781.t1
OG0003898	FBtr0112650	jg6009.t1	FBtr0211095	jg6841.t1	jg9434.t1	jg5783.t1
OG0003899	FBtr0087178	jg6010.t1	FBtr0362098	jg6842.t1	jg9433.t1	jg5784.t1
OG0003900	FBtr0290031	jg6012.t1	FBtr0365472	jg6845.t1	jg9431.t1	jg5786.t1
OG0003901	FBtr0087145	jg6013.t1	FBtr0353855	jg6846.t1	jg9429.t1	jg5788.t1
OG0003902	FBtr0087150	jg6015.t1	FBtr0348838	jg6850.t1	jg9427.t1	jg5790.t1
OG0003903	FBtr0087170	jg6016.t1	FBtr0225453	jg6851.t1	jg9426.t1	jg5791.t1
OG0003904	FBtr0087152	jg6017.t1	FBtr0211099	jg6853.t1	jg9424.t1	jg5793.t1
OG0003905	FBtr0087167	jg6018.t1	FBtr0225450	jg6855.t1	jg9423.t1	jg5794.t1
OG0003906	FBtr0306048	jg6019.t1	FBtr0211100	jg6856.t1	jg9422.t1	jg5795.t1
OG0003907	FBtr0087157	jg6023.t1	FBtr0211102	jg6861.t1	jg9417.t1	jg5799.t1
OG0003908	FBtr0087160	jg6024.t1	FBtr0225446	jg6862.t1	jg9416.t1	jg5800.t1
OG0003909	FBtr0113085	jg6025.t1	FBtr0348721	jg6863.t1	jg9415.t1	jg5801.t1
OG0003910	FBtr0087159	jg6026.t1	FBtr0211104	jg6864.t1	jg9414.t1	jg5802.t1
OG0003911	FBtr0087127	jg6028.t1	FBtr0225445	jg6866.t1	jg9410.t1	jg5805.t1
OG0003912	FBtr0087126	jg6032.t1	FBtr0354826	jg6869.t1	jg9407.t1	jg5807.t1
OG0003913	FBtr0087097	jg6035.t1	FBtr0211114	jg6872.t1	jg9404.t1	jg5810.t1
OG0003914	FBtr0330002	jg6036.t1	FBtr0225443	jg6873.t1	jg9403.t1	jg5811.t1
OG0003915	FBtr0087099	jg6037.t1	FBtr0361834	jg6874.t1	jg9402.t1	jg5812.t1
OG0003916	FBtr0087123	jg6038.t1	FBtr0225442	jg6875.t1	jg9401.t1	jg5814.t1
OG0003917	FBtr0306005	jg6040.t1	FBtr0225441	jg6877.t1	jg9399.t1	jg5816.t1
OG0003918	FBtr0087102	jg6041.t1	FBtr0211117	jg6878.t1	jg9398.t1	jg5817.t1
OG0003919	FBtr0087105	jg6042.t1	FBtr0211118	jg6879.t1	jg9397.t1	jg5818.t1
OG0003920	FBtr0087120	jg6044.t1	FBtr0225439	jg6881.t1	jg9395.t1	jg5820.t1
OG0003921	FBtr0340064	jg6045.t1	FBtr0353316	jg6882.t1	jg9394.t1	jg5821.t1
OG0003922	FBtr0087107	jg6046.t1	FBtr0353489	jg6883.t1	jg9393.t1	jg5822.t1
OG0003923	FBtr0087108	jg6047.t1	FBtr0353728	jg6884.t1	jg9392.t1	jg5823.t1
OG0003924	FBtr0087118	jg6048.t1	FBtr0354931	jg6885.t1	jg9391.t1	jg5824.t1
OG0003925	FBtr0087109	jg6050.t1	FBtr0365229	jg6888.t1	jg9388.t1	jg5826.t1
OG0003926	FBtr0112763	jg6054.t1	FBtr0350946	jg6892.t1	jg9385.t1	jg5830.t1
OG0003927	FBtr0112764	jg6055.t1	FBtr0358395	jg6893.t1	jg9384.t1	jg5831.t1
OG0003928	FBtr0087083	jg6061.t1	FBtr0225431	jg6899.t1	jg9378.t1	jg5837.t1
OG0003929	FBtr0087082	jg6062.t1	FBtr0225430	jg6900.t1	jg9377.t1	jg5838.t1
OG0003930	FBtr0087081	jg6063.t1	FBtr0225429	jg6901.t1	jg9376.t1	jg5839.t1
OG0003931	FBtr0087079	jg6065.t2	FBtr0357815	jg6903.t3	jg9372.t1	jg5843.t1
OG0003932	FBtr0087078	jg6067.t1	FBtr0225425	jg6906.t1	jg9370.t1	jg5845.t1
OG0003933	FBtr0087026	jg6068.t1	FBtr0211129	jg6907.t1	jg9369.t1	jg5847.t1
OG0003934	FBtr0087032	jg6069.t1	FBtr0360974	jg6908.t1	jg9368.t1	jg5848.t1
OG0003935	FBtr0300552	jg6070.t1	FBtr0350746	jg6909.t1	jg9367.t1	jg5849.t1
OG0003936	FBtr0112765	jg6072.t2	FBtr0354514	jg6910.t1	jg9365.t1	jg5852.t1
OG0003937	FBtr0087036	jg6076.t1	FBtr0211133	jg6913.t1	jg9362.t1	jg5855.t1
OG0003938	FBtr0087075	jg6077.t1	FBtr0225422	jg6915.t1	jg9361.t1	jg5856.t1
OG0003939	FBtr0100437	jg6078.t1	FBtr0362778	jg6916.t1	jg9360.t1	jg5857.t1
OG0003940	FBtr0087074	jg6079.t1	FBtr0225421	jg6917.t1	jg9359.t1	jg5858.t1
OG0003941	FBtr0332947	jg6080.t1	FBtr0211135	jg6918.t1	jg9358.t1	jg5859.t1
OG0003942	FBtr0087042	jg6081.t1	FBtr0361634	jg6919.t1	jg9357.t1	jg5860.t1
OG0003943	FBtr0087043	jg6082.t1	FBtr0211137	jg6920.t1	jg9356.t1	jg5861.t1
OG0003944	FBtr0087045	jg6084.t1	FBtr0211140	jg6922.t1	jg9355.t1	jg5863.t1
OG0003945	FBtr0087071	jg6085.t1	FBtr0225420	jg6923.t1	jg9354.t1	jg5864.t1
OG0003946	FBtr0340070	jg6086.t1	FBtr0357867	jg6924.t1	jg9353.t1	jg5865.t1
OG0003947	FBtr0087070	jg5482.t1	FBtr0225419	jg6931.t1	jg9959.t1	jg5510.t1
OG0003948	FBtr0112384	jg5483.t1	FBtr0355832	jg6934.t1	jg9957.t1	jg5512.t1
OG0003949	FBtr0339071	jg5485.t1	FBtr0211145	jg6937.t1	jg9955.t1	jg5513.t1
OG0003950	FBtr0087054	jg5486.t1	FBtr0211146	jg6938.t1	jg9954.t1	jg5514.t1
OG0003951	FBtr0087056	jg5488.t1	FBtr0358284	jg6941.t1	jg9952.t1	jg5516.t1
OG0003952	FBtr0100120	jg5490.t1	FBtr0351445	jg6944.t1	jg9951.t1	jg5518.t1
OG0003953	FBtr0087060	jg5491.t1	FBtr0361804	jg6945.t1	jg9950.t1	jg5519.t1
OG0003954	FBtr0087059	jg5492.t1	FBtr0225414	jg6946.t1	jg9949.t1	jg5520.t1
OG0003955	FBtr0087057	jg5493.t1	FBtr0211148	jg6947.t1	jg9948.t1	jg5521.t1
OG0003956	FBtr0087058	jg5494.t1	FBtr0225413	jg6949.t1	jg9947.t1	jg5522.t1
OG0003957	FBtr0086966	jg5495.t1	FBtr0359762	jg6950.t1	jg9946.t1	jg5523.t1
OG0003958	FBtr0114627	jg5496.t1	FBtr0225412	jg6951.t1	jg9945.t1	jg5524.t1
OG0003959	FBtr0087016	jg5497.t1	FBtr0350536	jg6952.t1	jg9944.t1	jg5525.t1
OG0003960	FBtr0086968	jg5498.t1	FBtr0361922	jg6953.t1	jg9943.t2	jg5526.t1
OG0003961	FBtr0086970	jg5502.t1	FBtr0211150	jg6955.t1	jg9939.t1	jg5530.t1
OG0003962	FBtr0086972	jg5503.t1	FBtr0211151	jg6956.t1	jg9938.t1	jg5531.t1
OG0003963	FBtr0086973	jg5504.t1	FBtr0211152	jg6958.t1	jg9937.t1	jg5532.t1
OG0003964	FBtr0086974	jg5505.t1	FBtr0211153	jg6959.t1	jg9936.t1	jg5533.t1
OG0003965	FBtr0086975	jg5506.t2	FBtr0211154	jg6960.t1	jg9933.t1	jg5536.t1
OG0003966	FBtr0087013	jg5508.t1	FBtr0225408	jg6961.t1	jg9932.t1	jg5537.t1
OG0003967	FBtr0300276	jg5509.t1	FBtr0357800	jg6962.t1	jg9931.t1	jg5538.t1
OG0003968	FBtr0087010	jg5510.t1	FBtr0353583	jg6963.t1	jg9930.t1	jg5539.t1
OG0003969	FBtr0087007	jg5511.t1	FBtr0225406	jg6964.t1	jg9929.t1	jg5540.t1
OG0003970	FBtr0086979	jg5512.t1	FBtr0211157	jg6965.t1	jg9928.t1	jg5541.t1
OG0003971	FBtr0333551	jg5513.t1	FBtr0225405	jg6966.t1	jg9927.t1	jg5542.t1
OG0003972	FBtr0273336	jg5515.t1	FBtr0364945	jg6967.t1	jg9925.t1	jg5544.t1
OG0003973	FBtr0086982	jg5516.t1	FBtr0211159	jg6968.t1	jg9924.t1	jg5545.t1
OG0003974	FBtr0110777	jg5518.t1	FBtr0355858	jg6971.t1	jg9921.t1	jg5548.t1
OG0003975	FBtr0087002	jg5520.t1	FBtr0225402	jg6973.t1	jg9919.t1	jg5550.t1
OG0003976	FBtr0086984	jg5521.t1	FBtr0211161	jg6974.t1	jg9918.t1	jg5551.t1
OG0003977	FBtr0086986	jg5523.t1	FBtr0211163	jg6977.t1	jg9915.t1	jg5554.t1
OG0003978	FBtr0086987	jg5524.t1	FBtr0211164	jg6978.t1	jg9914.t1	jg5555.t1
OG0003979	FBtr0304891	jg5525.t1	FBtr0225401	jg6979.t1	jg9913.t1	jg5556.t1
OG0003980	FBtr0087000	jg5527.t1	FBtr0225399	jg6982.t1	jg9911.t1	jg5558.t1
OG0003981	FBtr0086998	jg5529.t1	FBtr0215130	jg6984.t1	jg9909.t1	jg5560.t1
OG0003982	FBtr0086996	jg5532.t1	FBtr0225395	jg6988.t1	jg9906.t1	jg5563.t1
OG0003983	FBtr0336940	jg5534.t1	FBtr0347907	jg6992.t1	jg9904.t1	jg5566.t1
OG0003984	FBtr0086909	jg5536.t1	FBtr0211172	jg6997.t1	jg9902.t1	jg5570.t1
OG0003985	FBtr0086964	jg5537.t1	FBtr0225394	jg6998.t1	jg9901.t1	jg5571.t1
OG0003986	FBtr0086963	jg5538.t1	FBtr0225393	jg6999.t1	jg9900.t1	jg5572.t1
OG0003987	FBtr0086910	jg5539.t1	FBtr0211173	jg7000.t1	jg9899.t1	jg5573.t1
OG0003988	FBtr0086962	jg5540.t1	FBtr0361585	jg7001.t1	jg9898.t1	jg5574.t1
OG0003989	FBtr0086913	jg5541.t1	FBtr0211174	jg7002.t2	jg9897.t1	jg5575.t1
OG0003990	FBtr0086961	jg5542.t1	FBtr0225392	jg7003.t1	jg9896.t1	jg5576.t1
OG0003991	FBtr0329993	jg5543.t1	FBtr0211175	jg7004.t1	jg9895.t1	jg5577.t1
OG0003992	FBtr0086960	jg5544.t1	FBtr0225391	jg7005.t1	jg9894.t1	jg5578.t1
OG0003993	FBtr0086917	jg5545.t1	FBtr0211176	jg7006.t1	jg9893.t1	jg5579.t1
OG0003994	FBtr0340213	jg5546.t1	FBtr0364720	jg7007.t1	jg9892.t1	jg5580.t1
OG0003995	FBtr0086918	jg5547.t1	FBtr0211177	jg7008.t1	jg9891.t1	jg5581.t1
OG0003996	FBtr0086921	jg6836.t1	FBtr0352571	jg7018.t1	jg13920.t1	jg5587.t1
OG0003997	FBtr0086954	jg6835.t1	FBtr0225386	jg7020.t1	jg13921.t1	jg5588.t1
OG0003998	FBtr0331464	jg6834.t1	FBtr0358229	jg7021.t1	jg13922.t1	jg5589.t1
OG0003999	FBtr0086953	jg6833.t1	FBtr0225385	jg7022.t1	jg13923.t1	jg5590.t1
OG0004000	FBtr0086929	jg6830.t1	FBtr0211185	jg7026.t1	jg13926.t1	jg5593.t1
OG0004001	FBtr0305703	jg6829.t1	FBtr0211186	jg7027.t1	jg13928.t1	jg5594.t1
OG0004002	FBtr0086935	jg6828.t1	FBtr0211190	jg7028.t1	jg13929.t1	jg5595.t1
OG0004003	FBtr0086938	jg6153.t1	FBtr0211192	jg2955.t1	jg9285.t1	jg5931.t1
OG0004004	FBtr0086951	jg6154.t1	FBtr0225380	jg2957.t1	jg9284.t1	jg5932.t1
OG0004005	FBtr0332260	jg6156.t1	FBtr0351372	jg2959.t1	jg9282.t1	jg5934.t1
OG0004006	FBtr0086941	jg6157.t1	FBtr0211194	jg2961.t1	jg9281.t1	jg5935.t1
OG0004007	FBtr0307337	jg6158.t1	FBtr0211196	jg2962.t1	jg9280.t1	jg5936.t1
OG0004008	FBtr0112387	jg6159.t1	FBtr0211197	jg2963.t1	jg9279.t1	jg5937.t1
OG0004009	FBtr0086945	jg6160.t1	FBtr0211198	jg2964.t1	jg9278.t1	jg5938.t1
OG0004010	FBtr0086947	jg6161.t1	FBtr0225376	jg2965.t1	jg9277.t1	jg5939.t1
OG0004011	FBtr0086827	jg6165.t1	FBtr0211201	jg2971.t1	jg9275.t1	jg5941.t1
OG0004012	FBtr0086906	jg6166.t1	FBtr0225375	jg2972.t1	jg9274.t1	jg5942.t1
OG0004014	FBtr0086836	jg6181.t1	FBtr0211207	jg2987.t1	jg9259.t1	jg5959.t1
OG0004015	FBtr0273298	jg6182.t1	FBtr0211210	jg2988.t1	jg9258.t1	jg5960.t1
OG0004016	FBtr0340271	jg6183.t1	FBtr0211211	jg2989.t1	jg9257.t1	jg5961.t1
OG0004017	FBtr0086892	jg6184.t1	FBtr0353465	jg2990.t1	jg9256.t1	jg5962.t1
OG0004018	FBtr0086890	jg6185.t1	FBtr0225362	jg2991.t1	jg9255.t1	jg5963.t1
OG0004019	FBtr0301265	jg6186.t1	FBtr0352017	jg2992.t1	jg9254.t1	jg5964.t1
OG0004020	FBtr0086840	jg6188.t1	FBtr0211213	jg2995.t1	jg9253.t1	jg5965.t1
OG0004021	FBtr0086889	jg6189.t1	FBtr0225360	jg2996.t1	jg9252.t1	jg5966.t1
OG0004022	FBtr0086888	jg6190.t1	FBtr0347873	jg2998.t1	jg9251.t1	jg5967.t1
OG0004023	FBtr0086886	jg6191.t1	FBtr0359525	jg3000.t1	jg9250.t1	jg5968.t1
OG0004024	FBtr0086859	jg6192.t2	FBtr0215346	jg3001.t1	jg9249.t1	jg5969.t1
OG0004025	FBtr0086860	jg6193.t1	FBtr0211215	jg3002.t1	jg9248.t1	jg5970.t1
OG0004026	FBtr0086885	jg6194.t1	FBtr0225357	jg3003.t1	jg9247.t1	jg5971.t1
OG0004027	FBtr0299816	jg6195.t1	FBtr0211216	jg3004.t1	jg9246.t1	jg5972.t1
OG0004028	FBtr0301182	jg6196.t1	FBtr0361985	jg3005.t1	jg9245.t1	jg5973.t1
OG0004029	FBtr0112388	jg6197.t1	FBtr0211218	jg3006.t1	jg9244.t1	jg5974.t1
OG0004030	FBtr0086883	jg6198.t1	FBtr0225356	jg3007.t1	jg9243.t1	jg5975.t1
OG0004031	FBtr0086882	jg6199.t1	FBtr0225355	jg3008.t1	jg9242.t1	jg5976.t1
OG0004032	FBtr0086864	jg6200.t1	FBtr0211220	jg3009.t1	jg9241.t1	jg5977.t1
OG0004033	FBtr0086865	jg6201.t1	FBtr0211221	jg3010.t1	jg9240.t1	jg5978.t1
OG0004034	FBtr0086881	jg6202.t1	FBtr0225354	jg3011.t1	jg9239.t1	jg5979.t1
OG0004035	FBtr0089545	jg6203.t1	FBtr0211222	jg3012.t1	jg9238.t1	jg5980.t1
OG0004036	FBtr0089560	jg6205.t1	FBtr0349639	jg3014.t1	jg9236.t1	jg5982.t1
OG0004037	FBtr0089559	jg6210.t1	FBtr0225352	jg3018.t1	jg9232.t1	jg5986.t1
OG0004038	FBtr0089558	jg6211.t1	FBtr0225351	jg3019.t1	jg9231.t1	jg5987.t1
OG0004039	FBtr0089557	jg6212.t1	FBtr0225350	jg3020.t1	jg9230.t1	jg5988.t1
OG0004040	FBtr0089556	jg6213.t1	FBtr0359129	jg3021.t1	jg9229.t1	jg5989.t1
OG0004041	FBtr0089554	jg6214.t1	FBtr0225348	jg3023.t1	jg9228.t1	jg5990.t1
OG0004042	FBtr0089549	jg6216.t1	FBtr0211227	jg3024.t1	jg9226.t1	jg5992.t1
OG0004043	FBtr0089550	jg6218.t1	FBtr0211228	jg3026.t1	jg9224.t1	jg5994.t1
OG0004044	FBtr0299706	jg6219.t1	FBtr0349895	jg3027.t1	jg9223.t1	jg5995.t1
OG0004045	FBtr0086799	jg6220.t1	FBtr0362596	jg3028.t1	jg9222.t1	jg5996.t1
OG0004046	FBtr0273321	jg6221.t1	FBtr0215347	jg3029.t1	jg9221.t1	jg5997.t1
OG0004047	FBtr0114614	jg6222.t1	FBtr0211235	jg3030.t1	jg9220.t1	jg5998.t1
OG0004048	FBtr0086801	jg6223.t1	FBtr0211236	jg3031.t1	jg9219.t1	jg5999.t1
OG0004049	FBtr0086825	jg6224.t1	FBtr0225345	jg3032.t1	jg9218.t1	jg6000.t1
OG0004050	FBtr0113091	jg6225.t1	FBtr0364833	jg3034.t1	jg9217.t1	jg6001.t1
OG0004051	FBtr0086818	jg6228.t1	FBtr0225339	jg3037.t1	jg9214.t1	jg6003.t1
OG0004052	FBtr0086802	jg6229.t1	FBtr0356388	jg3038.t1	jg9213.t1	jg6004.t1
OG0004053	FBtr0300215	jg6231.t1	FBtr0362173	jg3042.t1	jg9211.t1	jg6007.t1
OG0004054	FBtr0086804	jg6232.t1	FBtr0211241	jg3043.t1	jg9209.t1	jg6009.t1
