OG	Dtei	Dsim	Dyak	Dmel	Dsan
OG0001594.intron6	jg3489.t1.intron6	FBtr0350475.intron7	jg1724.t1.intron6	FBtr0077394.intron6	jg1192.t1.intron6
OG0001595.intron1	jg3492.t1.intron1	FBtr0351896.intron1	jg1721.t1.intron1	FBtr0078990.intron1	jg1194.t1.intron1
OG0001595.intron2	jg3492.t1.intron2	FBtr0351896.intron2	jg1721.t1.intron2	FBtr0078990.intron2	jg1194.t1.intron2
OG0001595.intron3	jg3492.t1.intron3	FBtr0351896.intron3	jg1721.t1.intron3	FBtr0078990.intron3	jg1194.t1.intron3
OG0001595.intron4	jg3492.t1.intron4	FBtr0351896.intron4	jg1721.t1.intron4	FBtr0078990.intron4	jg1194.t1.intron4
OG0001596.intron1	jg3493.t1.intron1	FBtr0348985.intron1	jg1720.t1.intron1	FBtr0079058.intron1	jg1195.t1.intron1
OG0001596.intron2	jg3493.t1.intron2	FBtr0348985.intron2	jg1720.t1.intron2	FBtr0079058.intron2	jg1195.t1.intron2
OG0001596.intron3	jg3493.t1.intron3	FBtr0348985.intron3	jg1720.t1.intron3	FBtr0079058.intron3	jg1195.t1.intron3
OG0001597.intron2	jg3494.t1.intron2	FBtr0223219.intron2	jg1719.t1.intron2	FBtr0078991.intron2	jg1196.t1.intron2
OG0001600.intron1	jg3500.t1.intron1	FBtr0349555.intron1	jg1713.t1.intron1	FBtr0110838.intron1	jg1202.t1.intron1
OG0001600.intron2	jg3500.t1.intron2	FBtr0349555.intron2	jg1713.t1.intron2	FBtr0110838.intron2	jg1202.t1.intron2
OG0001600.intron3	jg3500.t1.intron3	FBtr0349555.intron3	jg1713.t1.intron3	FBtr0110838.intron3	jg1202.t1.intron3
OG0001600.intron4	jg3500.t1.intron4	FBtr0349555.intron4	jg1713.t1.intron4	FBtr0110838.intron4	jg1202.t1.intron4
OG0001600.intron5	jg3500.t1.intron5	FBtr0349555.intron5	jg1713.t1.intron5	FBtr0110838.intron5	jg1202.t1.intron5
OG0001600.intron6	jg3500.t1.intron6	FBtr0349555.intron6	jg1713.t1.intron6	FBtr0110838.intron6	jg1202.t1.intron6
OG0001600.intron7	jg3500.t1.intron7	FBtr0349555.intron7	jg1713.t1.intron7	FBtr0110838.intron7	jg1202.t1.intron7
OG0001600.intron8	jg3500.t1.intron8	FBtr0349555.intron8	jg1713.t1.intron8	FBtr0110838.intron8	jg1202.t1.intron8
OG0001600.intron9	jg3500.t1.intron9	FBtr0349555.intron9	jg1713.t1.intron9	FBtr0110838.intron9	jg1202.t1.intron9
OG0001600.intron10	jg3500.t1.intron10	FBtr0349555.intron10	jg1713.t1.intron10	FBtr0110838.intron10	jg1202.t1.intron10
OG0001601.intron1	jg3501.t1.intron1	FBtr0361747.intron1	jg1712.t1.intron1	FBtr0110839.intron1	jg1203.t1.intron1
OG0001602.intron1	jg3502.t1.intron1	FBtr0222585.intron1	jg1711.t1.intron1	FBtr0079053.intron1	jg1204.t1.intron1
OG0001602.intron2	jg3502.t1.intron2	FBtr0222585.intron2	jg1711.t1.intron2	FBtr0079053.intron2	jg1204.t1.intron2
OG0001603.intron1	jg3970.t1.intron1	FBtr0223222.intron1	jg1709.t1.intron1	FBtr0078994.intron1	jg1206.t1.intron1
OG0001604.intron1	jg3971.t1.intron1	FBtr0222583.intron1	jg1708.t1.intron1	FBtr0079051.intron1	jg1207.t1.intron1
OG0001606.intron1	jg3973.t1.intron1	FBtr0223224.intron1	jg1706.t1.intron1	FBtr0078996.intron1	jg1209.t1.intron1
OG0001606.intron2	jg3973.t1.intron2	FBtr0223224.intron2	jg1706.t1.intron2	FBtr0078996.intron2	jg1209.t1.intron2
OG0001607.intron1	jg3974.t1.intron1	FBtr0222582.intron1	jg1705.t1.intron1	FBtr0079049.intron1	jg1210.t1.intron1
OG0001607.intron2	jg3974.t1.intron2	FBtr0222582.intron2	jg1705.t1.intron2	FBtr0079049.intron2	jg1210.t1.intron2
OG0001608.intron1	jg3975.t1.intron1	FBtr0223225.intron1	jg1704.t1.intron1	FBtr0078997.intron1	jg1211.t1.intron1
OG0001609.intron1	jg3976.t1.intron1	FBtr0222581.intron1	jg1703.t1.intron1	FBtr0079048.intron1	jg1212.t1.intron1
OG0001609.intron2	jg3976.t1.intron2	FBtr0222581.intron2	jg1703.t1.intron2	FBtr0079048.intron2	jg1212.t1.intron2
OG0001611.intron1	jg3978.t1.intron1	FBtr0360394.intron1	jg1701.t1.intron1	FBtr0329975.intron1	jg1214.t2.intron1
OG0001611.intron2	jg3978.t1.intron2	FBtr0360394.intron2	jg1701.t1.intron2	FBtr0329975.intron2	jg1214.t2.intron2
OG0001611.intron3	jg3978.t1.intron3	FBtr0360394.intron3	jg1701.t1.intron3	FBtr0329975.intron3	jg1214.t2.intron3
OG0001611.intron6	jg3978.t1.intron5	FBtr0360394.intron5	jg1701.t1.intron5	FBtr0329975.intron5	jg1214.t2.intron6
OG0001611.intron7	jg3978.t1.intron6	FBtr0360394.intron6	jg1701.t1.intron6	FBtr0329975.intron6	jg1214.t2.intron7
OG0001611.intron8	jg3978.t1.intron7	FBtr0360394.intron7	jg1701.t1.intron7	FBtr0329975.intron7	jg1214.t2.intron8
OG0001611.intron9	jg3978.t1.intron8	FBtr0360394.intron8	jg1701.t1.intron8	FBtr0329975.intron8	jg1214.t2.intron9
OG0001611.intron10	jg3978.t1.intron9	FBtr0360394.intron9	jg1701.t1.intron9	FBtr0329975.intron9	jg1214.t2.intron10
OG0001611.intron13	jg3978.t1.intron12	FBtr0360394.intron12	jg1701.t1.intron11	FBtr0329975.intron12	jg1214.t2.intron13
OG0001611.intron14	jg3978.t1.intron13	FBtr0360394.intron13	jg1701.t1.intron12	FBtr0329975.intron13	jg1214.t2.intron14
OG0001611.intron15	jg3978.t1.intron14	FBtr0360394.intron14	jg1701.t1.intron13	FBtr0329975.intron14	jg1214.t2.intron15
OG0001611.intron16	jg3978.t1.intron15	FBtr0360394.intron15	jg1701.t1.intron14	FBtr0329975.intron15	jg1214.t2.intron16
OG0001612.intron3	jg3979.t3.intron3	FBtr0359211.intron1	jg1700.t2.intron1	FBtr0301538.intron1	jg1215.t1.intron1
OG0001612.intron5	jg3979.t3.intron5	FBtr0359211.intron3	jg1700.t2.intron3	FBtr0301538.intron3	jg1215.t1.intron4
OG0001612.intron6	jg3979.t3.intron6	FBtr0359211.intron4	jg1700.t2.intron4	FBtr0301538.intron4	jg1215.t1.intron5
OG0001612.intron7	jg3979.t3.intron7	FBtr0359211.intron5	jg1700.t2.intron5	FBtr0301538.intron5	jg1215.t1.intron6
OG0001613.intron1	jg3980.t1.intron1	FBtr0211895.intron1	jg1698.t1.intron1	FBtr0301130.intron1	jg1217.t1.intron1
OG0001614.intron1	jg3981.t1.intron1	FBtr0360853.intron1	jg1697.t1.intron1	FBtr0079000.intron1	jg1218.t1.intron1
OG0001616.intron1	jg3985.t1.intron1	FBtr0211931.intron1	jg1692.t1.intron1	FBtr0079004.intron1	jg1223.t1.intron1
OG0001617.intron1	jg3986.t1.intron1	FBtr0211893.intron1	jg1691.t1.intron1	FBtr0079033.intron1	jg1224.t1.intron3
OG0001617.intron2	jg3986.t1.intron2	FBtr0211893.intron2	jg1691.t1.intron2	FBtr0079033.intron2	jg1224.t1.intron4
OG0001618.intron3	jg3987.t1.intron3	FBtr0356783.intron2	jg1690.t1.intron1	FBtr0100048.intron2	jg1225.t1.intron3
OG0001620.intron1	jg3989.t1.intron1	FBtr0355469.intron1	jg1688.t1.intron1	FBtr0334124.intron1	jg1227.t1.intron1
OG0001620.intron2	jg3989.t1.intron2	FBtr0355469.intron2	jg1688.t1.intron2	FBtr0334124.intron2	jg1227.t1.intron2
OG0001621.intron1	jg3990.t1.intron1	FBtr0214840.intron1	jg1687.t1.intron1	FBtr0079032.intron1	jg1228.t1.intron1
OG0001621.intron2	jg3990.t1.intron2	FBtr0214840.intron2	jg1687.t1.intron2	FBtr0079032.intron2	jg1228.t1.intron2
OG0001622.intron1	jg3991.t1.intron1	FBtr0364948.intron1	jg1686.t1.intron1	FBtr0079030.intron1	jg1229.t1.intron1
OG0001622.intron2	jg3991.t1.intron2	FBtr0364948.intron2	jg1686.t1.intron2	FBtr0079030.intron2	jg1229.t1.intron2
OG0001623.intron1	jg3992.t1.intron1	FBtr0360172.intron1	jg1685.t1.intron1	FBtr0079009.intron1	jg1230.t1.intron1
OG0001623.intron2	jg3992.t1.intron2	FBtr0360172.intron2	jg1685.t1.intron2	FBtr0079009.intron2	jg1230.t1.intron2
OG0001625.intron1	jg3996.t1.intron2	FBtr0222573.intron1	jg1681.t1.intron1	FBtr0079027.intron1	jg1235.t1.intron3
OG0001626.intron1	jg3997.t1.intron1	FBtr0355686.intron1	jg1680.t1.intron2	FBtr0079012.intron1	jg1236.t1.intron1
OG0001626.intron2	jg3997.t1.intron2	FBtr0355686.intron2	jg1680.t1.intron3	FBtr0079012.intron2	jg1236.t1.intron2
OG0001626.intron3	jg3997.t1.intron3	FBtr0355686.intron3	jg1680.t1.intron4	FBtr0079012.intron3	jg1236.t1.intron3
OG0001627.intron1	jg3999.t1.intron1	FBtr0348650.intron1	jg1678.t1.intron1	FBtr0079026.intron1	jg1238.t1.intron1
OG0001627.intron2	jg3999.t1.intron2	FBtr0348650.intron2	jg1678.t1.intron2	FBtr0079026.intron2	jg1238.t1.intron2
OG0001627.intron3	jg3999.t1.intron3	FBtr0348650.intron3	jg1678.t1.intron3	FBtr0079026.intron3	jg1238.t1.intron3
OG0001627.intron4	jg3999.t1.intron4	FBtr0348650.intron4	jg1678.t1.intron4	FBtr0079026.intron4	jg1238.t1.intron4
OG0001627.intron7	jg3999.t1.intron6	FBtr0348650.intron6	jg1678.t1.intron6	FBtr0079026.intron6	jg1238.t1.intron7
OG0001627.intron8	jg3999.t1.intron7	FBtr0348650.intron7	jg1678.t1.intron7	FBtr0079026.intron7	jg1238.t1.intron8
OG0001629.intron1	jg4001.t1.intron1	FBtr0223232.intron1	jg1676.t1.intron1	FBtr0329983.intron1	jg1240.t1.intron1
OG0001629.intron2	jg4001.t1.intron2	FBtr0223232.intron2	jg1676.t1.intron2	FBtr0329983.intron2	jg1240.t1.intron2
OG0001629.intron3	jg4001.t1.intron3	FBtr0223232.intron3	jg1676.t1.intron3	FBtr0329983.intron3	jg1240.t1.intron3
OG0001630.intron1	jg4002.t1.intron1	FBtr0222572.intron1	jg1675.t1.intron1	FBtr0079025.intron1	jg1241.t1.intron1
OG0001630.intron2	jg4002.t1.intron2	FBtr0222572.intron2	jg1675.t1.intron2	FBtr0079025.intron2	jg1241.t1.intron2
OG0001631.intron2	jg4008.t1.intron2	FBtr0222571.intron2	jg1893.t1.intron7	FBtr0079092.intron2	jg1829.t1.intron2
OG0001631.intron3	jg4008.t1.intron3	FBtr0222571.intron3	jg1893.t1.intron8	FBtr0079092.intron3	jg1829.t1.intron3
OG0001631.intron4	jg4008.t1.intron4	FBtr0222571.intron4	jg1893.t1.intron9	FBtr0079092.intron4	jg1829.t1.intron4
OG0001631.intron5	jg4008.t1.intron5	FBtr0222571.intron5	jg1893.t1.intron10	FBtr0079092.intron5	jg1829.t1.intron5
OG0001631.intron6	jg4008.t1.intron6	FBtr0222571.intron6	jg1893.t1.intron11	FBtr0079092.intron6	jg1829.t1.intron6
OG0001632.intron3	jg4010.t1.intron2	FBtr0223239.intron2	jg1892.t1.intron1	FBtr0079063.intron2	jg1827.t1.intron3
OG0001633.intron3	jg4011.t2.intron3	FBtr0349409.intron3	jg1891.t1.intron2	FBtr0079087.intron3	jg1826.t2.intron2
OG0001634.intron1	jg4013.t1.intron1	FBtr0355569.intron1	jg1889.t1.intron1	FBtr0310625.intron1	jg1822.t1.intron1
OG0001634.intron2	jg4013.t1.intron2	FBtr0355569.intron2	jg1889.t1.intron2	FBtr0310625.intron2	jg1822.t1.intron2
OG0001634.intron5	jg4013.t1.intron4	FBtr0355569.intron5	jg1889.t1.intron4	FBtr0310625.intron5	jg1822.t1.intron4
OG0001634.intron6	jg4013.t1.intron5	FBtr0355569.intron6	jg1889.t1.intron5	FBtr0310625.intron6	jg1822.t1.intron5
OG0001634.intron7	jg4013.t1.intron6	FBtr0355569.intron7	jg1889.t1.intron6	FBtr0310625.intron7	jg1822.t1.intron6
OG0001635.intron1	jg4014.t1.intron1	FBtr0223243.intron1	jg1888.t1.intron1	FBtr0079069.intron1	jg1821.t1.intron1
OG0001636.intron1	jg4017.t1.intron1	FBtr0222567.intron1	jg1886.t1.intron1	FBtr0079082.intron1	jg1819.t1.intron1
OG0001636.intron2	jg4017.t1.intron2	FBtr0222567.intron2	jg1886.t1.intron2	FBtr0079082.intron2	jg1819.t1.intron2
OG0001637.intron2	jg4020.t1.intron2	FBtr0350336.intron1	jg1882.t1.intron2	FBtr0079072.intron1	jg1816.t1.intron2
OG0001638.intron1	jg4021.t1.intron1	FBtr0363531.intron1	jg1881.t1.intron1	FBtr0079080.intron1	jg1815.t1.intron1
OG0001638.intron2	jg4021.t1.intron2	FBtr0363531.intron2	jg1881.t1.intron2	FBtr0079080.intron2	jg1815.t1.intron2
OG0001639.intron1	jg4022.t1.intron1	FBtr0223245.intron1	jg1880.t1.intron1	FBtr0079073.intron1	jg1814.t1.intron1
OG0001640.intron1	jg4023.t1.intron1	FBtr0222564.intron1	jg1879.t1.intron1	FBtr0079078.intron1	jg1813.t1.intron1
OG0001640.intron2	jg4023.t1.intron2	FBtr0222564.intron2	jg1879.t1.intron2	FBtr0079078.intron2	jg1813.t1.intron2
OG0001640.intron3	jg4023.t1.intron3	FBtr0222564.intron3	jg1879.t1.intron3	FBtr0079078.intron3	jg1813.t1.intron3
OG0001641.intron1	jg4024.t1.intron1	FBtr0222562.intron1	jg1878.t1.intron1	FBtr0079077.intron1	jg1812.t1.intron1
OG0001641.intron2	jg4024.t1.intron2	FBtr0222562.intron2	jg1878.t1.intron2	FBtr0079077.intron2	jg1812.t1.intron2
OG0001642.intron1	jg4025.t1.intron1	FBtr0361208.intron1	jg1877.t1.intron1	FBtr0347409.intron1	jg1811.t1.intron1
OG0001642.intron4	jg4025.t1.intron3	FBtr0361208.intron4	jg1877.t1.intron4	FBtr0347409.intron4	jg1811.t1.intron4
OG0001642.intron5	jg4025.t1.intron4	FBtr0361208.intron5	jg1877.t1.intron5	FBtr0347409.intron5	jg1811.t1.intron5
OG0001642.intron6	jg4025.t1.intron5	FBtr0361208.intron6	jg1877.t1.intron6	FBtr0347409.intron6	jg1811.t1.intron6
OG0001642.intron7	jg4025.t1.intron6	FBtr0361208.intron7	jg1877.t1.intron7	FBtr0347409.intron7	jg1811.t1.intron7
OG0001642.intron8	jg4025.t1.intron7	FBtr0361208.intron8	jg1877.t1.intron8	FBtr0347409.intron8	jg1811.t1.intron8
OG0001642.intron9	jg4025.t1.intron8	FBtr0361208.intron9	jg1877.t1.intron9	FBtr0347409.intron9	jg1811.t1.intron9
OG0001642.intron10	jg4025.t1.intron9	FBtr0361208.intron10	jg1877.t1.intron10	FBtr0347409.intron10	jg1811.t1.intron10
OG0001642.intron11	jg4025.t1.intron10	FBtr0361208.intron11	jg1877.t1.intron11	FBtr0347409.intron11	jg1811.t1.intron11
OG0001642.intron12	jg4025.t1.intron11	FBtr0361208.intron12	jg1877.t1.intron12	FBtr0347409.intron12	jg1811.t1.intron12
OG0001644.intron2	jg4031.t1.intron2	FBtr0222560.intron2	jg1872.t1.intron2	FBtr0079130.intron2	jg1804.t1.intron2
OG0001645.intron3	jg4032.t2.intron3	FBtr0357188.intron3	jg1871.t1.intron3	FBtr0079095.intron2	jg1803.t1.intron4
OG0001646.intron1	jg4033.t1.intron1	FBtr0222559.intron1	jg1870.t1.intron1	FBtr0079129.intron1	jg1802.t1.intron1
OG0001646.intron2	jg4033.t1.intron2	FBtr0222559.intron2	jg1870.t1.intron2	FBtr0079129.intron2	jg1802.t1.intron2
OG0001646.intron3	jg4033.t1.intron3	FBtr0222559.intron3	jg1870.t1.intron3	FBtr0079129.intron3	jg1802.t1.intron3
OG0001646.intron4	jg4033.t1.intron4	FBtr0222559.intron4	jg1870.t1.intron4	FBtr0079129.intron4	jg1802.t1.intron4
OG0001646.intron5	jg4033.t1.intron5	FBtr0222559.intron5	jg1870.t1.intron5	FBtr0079129.intron5	jg1802.t1.intron5
OG0001646.intron6	jg4033.t1.intron6	FBtr0222559.intron6	jg1870.t1.intron6	FBtr0079129.intron6	jg1802.t1.intron6
OG0001648.intron3	jg4037.t1.intron2	FBtr0365340.intron3	jg1865.t1.intron2	FBtr0079097.intron3	jg1798.t1.intron2
OG0001648.intron4	jg4037.t1.intron3	FBtr0365340.intron4	jg1865.t1.intron3	FBtr0079097.intron4	jg1798.t1.intron3
OG0001648.intron5	jg4037.t1.intron4	FBtr0365340.intron5	jg1865.t1.intron4	FBtr0079097.intron5	jg1798.t1.intron4
OG0001648.intron6	jg4037.t1.intron5	FBtr0365340.intron6	jg1865.t1.intron5	FBtr0079097.intron6	jg1798.t1.intron5
OG0001651.intron1	jg4038.t1.intron1	FBtr0358570.intron1	jg1864.t1.intron1	FBtr0079127.intron1	jg1797.t1.intron1
OG0001652.intron2	jg4039.t1.intron2	FBtr0360924.intron2	jg1863.t1.intron2	FBtr0079126.intron2	jg1796.t1.intron2
OG0001652.intron3	jg4039.t1.intron3	FBtr0360924.intron3	jg1863.t1.intron3	FBtr0079126.intron3	jg1796.t1.intron3
OG0001653.intron1	jg4040.t1.intron1	FBtr0211891.intron1	jg1862.t1.intron1	FBtr0079123.intron1	jg1795.t1.intron1
OG0001653.intron2	jg4040.t1.intron2	FBtr0211891.intron2	jg1862.t1.intron2	FBtr0079123.intron2	jg1795.t1.intron2
OG0001653.intron3	jg4040.t1.intron3	FBtr0211891.intron3	jg1862.t1.intron3	FBtr0079123.intron3	jg1795.t1.intron3
OG0001653.intron4	jg4040.t1.intron4	FBtr0211891.intron4	jg1862.t1.intron4	FBtr0079123.intron4	jg1795.t1.intron4
OG0001653.intron5	jg4040.t1.intron5	FBtr0211891.intron5	jg1862.t1.intron5	FBtr0079123.intron5	jg1795.t1.intron5
OG0001653.intron6	jg4040.t1.intron6	FBtr0211891.intron6	jg1862.t1.intron6	FBtr0079123.intron6	jg1795.t1.intron6
OG0001654.intron1	jg4041.t1.intron1	FBtr0351061.intron1	jg1861.t1.intron1	FBtr0079100.intron1	jg1794.t1.intron2
OG0001654.intron2	jg4041.t1.intron2	FBtr0351061.intron2	jg1861.t1.intron2	FBtr0079100.intron2	jg1794.t1.intron3
OG0001657.intron1	jg4044.t1.intron1	FBtr0222556.intron1	jg1858.t1.intron1	FBtr0079121.intron1	jg1790.t1.intron1
OG0001658.intron1	jg4045.t1.intron1	FBtr0354912.intron1	jg1857.t1.intron1	FBtr0079104.intron1	jg1789.t1.intron1
OG0001660.intron1	jg4050.t1.intron1	FBtr0222553.intron1	jg1143.t1.intron1	FBtr0079117.intron1	jg1784.t1.intron1
OG0001662.intron3	jg4052.t1.intron3	FBtr0351295.intron3	jg1145.t1.intron2	FBtr0302933.intron3	jg1782.t1.intron3
OG0001662.intron6	jg4052.t1.intron5	FBtr0351295.intron6	jg1145.t1.intron5	FBtr0302933.intron6	jg1782.t1.intron6
OG0001663.intron7	jg4054.t1.intron5	FBtr0348977.intron6	jg1147.t1.intron5	FBtr0079114.intron6	jg1780.t1.intron7
OG0001663.intron8	jg4054.t1.intron6	FBtr0348977.intron7	jg1147.t1.intron6	FBtr0079114.intron7	jg1780.t1.intron8
OG0001663.intron9	jg4054.t1.intron7	FBtr0348977.intron8	jg1147.t1.intron7	FBtr0079114.intron8	jg1780.t1.intron9
OG0001663.intron10	jg4054.t1.intron8	FBtr0348977.intron9	jg1147.t1.intron8	FBtr0079114.intron9	jg1780.t1.intron10
OG0001663.intron11	jg4054.t1.intron9	FBtr0348977.intron10	jg1147.t1.intron9	FBtr0079114.intron10	jg1780.t1.intron11
OG0001663.intron12	jg4054.t1.intron10	FBtr0348977.intron11	jg1147.t1.intron10	FBtr0079114.intron11	jg1780.t1.intron12
OG0001665.intron2	jg4058.t1.intron2	FBtr0223267.intron2	jg1152.t1.intron2	FBtr0343387.intron2	jg1776.t1.intron2
OG0001665.intron3	jg4058.t1.intron3	FBtr0223267.intron3	jg1152.t1.intron3	FBtr0343387.intron3	jg1776.t1.intron3
OG0001669.intron1	jg4062.t1.intron1	FBtr0349576.intron1	jg1156.t1.intron1	FBtr0079134.intron1	jg1772.t1.intron1
OG0001669.intron2	jg4062.t1.intron2	FBtr0349576.intron2	jg1156.t1.intron2	FBtr0079134.intron2	jg1772.t1.intron2
OG0001670.intron2	jg4067.t1.intron2	FBtr0352557.intron3	jg1160.t1.intron2	FBtr0079135.intron2	jg1768.t1.intron2
OG0001670.intron3	jg4067.t1.intron3	FBtr0352557.intron4	jg1160.t1.intron3	FBtr0079135.intron3	jg1768.t1.intron3
OG0001672.intron1	jg4064.t1.intron1	FBtr0222546.intron1	jg1158.t1.intron1	FBtr0079165.intron1	jg1770.t1.intron1
OG0001672.intron2	jg4064.t1.intron2	FBtr0222546.intron2	jg1158.t1.intron2	FBtr0079165.intron2	jg1770.t1.intron2
OG0001672.intron3	jg4064.t1.intron3	FBtr0222546.intron3	jg1158.t1.intron3	FBtr0079165.intron3	jg1770.t1.intron3
OG0001672.intron4	jg4064.t1.intron4	FBtr0222546.intron4	jg1158.t1.intron4	FBtr0079165.intron4	jg1770.t1.intron4
OG0001672.intron5	jg4064.t1.intron5	FBtr0222546.intron5	jg1158.t1.intron5	FBtr0079165.intron5	jg1770.t1.intron5
OG0001672.intron6	jg4064.t1.intron6	FBtr0222546.intron6	jg1158.t1.intron6	FBtr0079165.intron6	jg1770.t1.intron6
OG0001672.intron7	jg4064.t1.intron7	FBtr0222546.intron7	jg1158.t1.intron7	FBtr0079165.intron7	jg1770.t1.intron7
OG0001672.intron8	jg4064.t1.intron8	FBtr0222546.intron8	jg1158.t1.intron8	FBtr0079165.intron8	jg1770.t1.intron8
OG0001675.intron1	jg4070.t1.intron1	FBtr0222540.intron1	jg1163.t1.intron1	FBtr0079160.intron1	jg1764.t1.intron1
OG0001677.intron1	jg4072.t1.intron1	FBtr0353622.intron1	jg1165.t1.intron1	FBtr0306841.intron1	jg1762.t1.intron1
OG0001677.intron2	jg4072.t1.intron2	FBtr0353622.intron2	jg1165.t1.intron2	FBtr0306841.intron2	jg1762.t1.intron2
OG0001677.intron3	jg4072.t1.intron3	FBtr0353622.intron3	jg1165.t1.intron3	FBtr0306841.intron3	jg1762.t1.intron3
OG0001677.intron4	jg4072.t1.intron4	FBtr0353622.intron4	jg1165.t1.intron4	FBtr0306841.intron4	jg1762.t1.intron4
OG0001677.intron5	jg4072.t1.intron5	FBtr0353622.intron5	jg1165.t1.intron5	FBtr0306841.intron5	jg1762.t1.intron5
OG0001678.intron1	jg4073.t1.intron1	FBtr0222539.intron1	jg1166.t1.intron1	FBtr0342622.intron1	jg1761.t1.intron1
OG0001679.intron1	jg4074.t1.intron3	FBtr0348997.intron1	jg1167.t1.intron1	FBtr0112619.intron1	jg1760.t1.intron1
OG0001679.intron2	jg4074.t1.intron4	FBtr0348997.intron2	jg1167.t1.intron2	FBtr0112619.intron2	jg1760.t1.intron2
OG0001679.intron3	jg4074.t1.intron5	FBtr0348997.intron3	jg1167.t1.intron3	FBtr0112619.intron3	jg1760.t1.intron3
OG0001679.intron4	jg4074.t1.intron6	FBtr0348997.intron4	jg1167.t1.intron4	FBtr0112619.intron4	jg1760.t1.intron4
OG0001680.intron1	jg4075.t1.intron2	FBtr0222538.intron1	jg1168.t1.intron1	FBtr0079158.intron1	jg1759.t1.intron1
OG0001680.intron2	jg4075.t1.intron3	FBtr0222538.intron2	jg1168.t1.intron2	FBtr0079158.intron2	jg1759.t1.intron2
OG0001681.intron1	jg4077.t1.intron1	FBtr0356932.intron1	jg1169.t1.intron1	FBtr0300305.intron1	jg1758.t1.intron1
OG0001681.intron2	jg4077.t1.intron2	FBtr0356932.intron2	jg1169.t1.intron2	FBtr0300305.intron2	jg1758.t1.intron2
OG0001684.intron1	jg4080.t1.intron1	FBtr0222535.intron1	jg1172.t1.intron1	FBtr0079154.intron1	jg1755.t1.intron1
OG0001685.intron3	jg4083.t1.intron1	FBtr0356532.intron3	jg1175.t1.intron1	FBtr0079144.intron3	jg1752.t1.intron1
OG0001685.intron4	jg4083.t1.intron2	FBtr0356532.intron4	jg1175.t1.intron2	FBtr0079144.intron4	jg1752.t1.intron2
OG0001685.intron5	jg4083.t1.intron3	FBtr0356532.intron5	jg1175.t1.intron3	FBtr0079144.intron5	jg1752.t1.intron3
OG0001685.intron6	jg4083.t1.intron4	FBtr0356532.intron6	jg1175.t1.intron4	FBtr0079144.intron6	jg1752.t1.intron4
OG0001685.intron7	jg4083.t1.intron5	FBtr0356532.intron7	jg1175.t1.intron5	FBtr0079144.intron7	jg1752.t1.intron5
OG0001685.intron8	jg4083.t1.intron6	FBtr0356532.intron8	jg1175.t1.intron6	FBtr0079144.intron8	jg1752.t1.intron6
OG0001685.intron9	jg4083.t1.intron7	FBtr0356532.intron9	jg1175.t1.intron7	FBtr0079144.intron9	jg1752.t1.intron7
OG0001685.intron10	jg4083.t1.intron8	FBtr0356532.intron10	jg1175.t1.intron8	FBtr0079144.intron10	jg1752.t1.intron8
OG0001685.intron11	jg4083.t1.intron9	FBtr0356532.intron11	jg1175.t1.intron9	FBtr0079144.intron11	jg1752.t1.intron9
OG0001685.intron12	jg4083.t1.intron10	FBtr0356532.intron12	jg1175.t1.intron10	FBtr0079144.intron12	jg1752.t1.intron10
OG0001685.intron13	jg4083.t1.intron11	FBtr0356532.intron13	jg1175.t1.intron11	FBtr0079144.intron13	jg1752.t1.intron11
OG0001685.intron14	jg4083.t1.intron12	FBtr0356532.intron14	jg1175.t1.intron12	FBtr0079144.intron14	jg1752.t1.intron12
OG0001685.intron15	jg4083.t1.intron13	FBtr0356532.intron15	jg1175.t1.intron13	FBtr0079144.intron15	jg1752.t1.intron13
OG0001685.intron16	jg4083.t1.intron14	FBtr0356532.intron16	jg1175.t1.intron14	FBtr0079144.intron16	jg1752.t1.intron14
OG0001688.intron2	jg4085.t1.intron2	FBtr0350090.intron2	jg1177.t1.intron2	FBtr0079145.intron2	jg1750.t1.intron2
OG0001688.intron4	jg4085.t1.intron6	FBtr0350090.intron4	jg1177.t1.intron4	FBtr0079145.intron4	jg1750.t1.intron4
OG0001689.intron1	jg4087.t1.intron1	FBtr0223280.intron1	jg1178.t1.intron1	FBtr0079146.intron1	jg1748.t1.intron1
OG0001689.intron2	jg4087.t1.intron2	FBtr0223280.intron2	jg1178.t1.intron2	FBtr0079146.intron2	jg1748.t1.intron2
OG0001689.intron3	jg4087.t1.intron3	FBtr0223280.intron3	jg1178.t1.intron3	FBtr0079146.intron3	jg1748.t1.intron3
OG0001689.intron4	jg4087.t1.intron4	FBtr0223280.intron4	jg1178.t1.intron4	FBtr0079146.intron4	jg1748.t1.intron4
OG0001689.intron5	jg4087.t1.intron5	FBtr0223280.intron5	jg1178.t1.intron5	FBtr0079146.intron5	jg1748.t1.intron5
OG0001690.intron1	jg4088.t1.intron1	FBtr0356860.intron1	jg1179.t1.intron1	FBtr0333231.intron1	jg1747.t1.intron1
OG0001690.intron2	jg4088.t1.intron2	FBtr0356860.intron2	jg1179.t1.intron2	FBtr0333231.intron2	jg1747.t1.intron2
OG0001690.intron3	jg4088.t1.intron3	FBtr0356860.intron3	jg1179.t1.intron3	FBtr0333231.intron3	jg1747.t1.intron3
OG0001690.intron4	jg4088.t1.intron4	FBtr0356860.intron4	jg1179.t1.intron4	FBtr0333231.intron4	jg1747.t1.intron4
