OG	Dsan_STOCAGO1482	Dsim_w501	Dtei_GT53w	Dyak_NY73PB	Dmel_ISO1
OG0002699.intron1	jg7296.t1.intron1	FBtr0221705.intron1	jg14457.t1.intron1	jg13459.t1.intron1	FBtr0081187.intron1
OG0002699.intron5	jg7296.t1.intron5	FBtr0221705.intron5	jg14457.t1.intron6	jg13459.t1.intron5	FBtr0081187.intron5
OG0002699.intron6	jg7296.t1.intron6	FBtr0221705.intron6	jg14457.t1.intron7	jg13459.t1.intron6	FBtr0081187.intron6
OG0002703.intron1	jg7292.t1.intron1	FBtr0221703.intron1	jg14453.t1.intron1	jg13463.t1.intron1	FBtr0081185.intron1
OG0002704.intron1	jg7291.t1.intron1	FBtr0224077.intron1	jg14452.t1.intron1	jg13464.t1.intron1	FBtr0081135.intron1
OG0002704.intron2	jg7291.t1.intron2	FBtr0224077.intron2	jg14452.t1.intron2	jg13464.t1.intron2	FBtr0081135.intron2
OG0002708.intron3	jg7286.t1.intron3	FBtr0221700.intron1	jg14446.t1.intron3	jg13469.t1.intron4	FBtr0081181.intron1
OG0002711.intron2	jg7283.t1.intron2	FBtr0224083.intron2	jg14444.t1.intron3	jg13473.t1.intron2	FBtr0081141.intron2
OG0002712.intron2	jg7282.t1.intron2	FBtr0221698.intron2	jg14443.t1.intron2	jg13474.t1.intron5	FBtr0081180.intron2
OG0002712.intron3	jg7282.t1.intron3	FBtr0221698.intron3	jg14443.t1.intron3	jg13474.t1.intron6	FBtr0081180.intron3
OG0002712.intron4	jg7282.t1.intron4	FBtr0221698.intron4	jg14443.t1.intron4	jg13474.t1.intron7	FBtr0081180.intron4
OG0002712.intron5	jg7282.t1.intron5	FBtr0221698.intron5	jg14443.t1.intron5	jg13474.t1.intron8	FBtr0081180.intron5
OG0002712.intron6	jg7282.t1.intron6	FBtr0221698.intron6	jg14443.t1.intron6	jg13474.t1.intron9	FBtr0081180.intron6
OG0002713.intron1	jg7280.t1.intron1	FBtr0358553.intron1	jg14441.t1.intron1	jg13475.t1.intron1	FBtr0081142.intron1
OG0002713.intron2	jg7280.t1.intron2	FBtr0358553.intron2	jg14441.t1.intron2	jg13475.t1.intron2	FBtr0081142.intron2
OG0002713.intron3	jg7280.t1.intron3	FBtr0358553.intron3	jg14441.t1.intron3	jg13475.t1.intron3	FBtr0081142.intron3
OG0002714.intron1	jg7279.t1.intron1	FBtr0354803.intron1	jg14440.t1.intron1	jg13476.t1.intron1	FBtr0081143.intron1
OG0002715.intron1	jg7278.t1.intron1	FBtr0362117.intron1	jg14439.t1.intron1	jg13477.t1.intron1	FBtr0081178.intron1
OG0002715.intron2	jg7278.t1.intron2	FBtr0362117.intron2	jg14439.t1.intron2	jg13477.t1.intron2	FBtr0081178.intron2
OG0002715.intron3	jg7278.t1.intron3	FBtr0362117.intron3	jg14439.t1.intron3	jg13477.t1.intron3	FBtr0081178.intron3
OG0002716.intron2	jg7277.t1.intron2	FBtr0224086.intron2	jg14438.t1.intron4	jg13478.t1.intron2	FBtr0081144.intron2
OG0002716.intron3	jg7277.t1.intron3	FBtr0224086.intron3	jg14438.t1.intron5	jg13478.t1.intron3	FBtr0081144.intron3
OG0002716.intron4	jg7277.t1.intron4	FBtr0224086.intron4	jg14438.t1.intron6	jg13478.t1.intron4	FBtr0081144.intron4
OG0002717.intron1	jg7276.t1.intron1	FBtr0224087.intron1	jg14437.t1.intron1	jg13479.t1.intron1	FBtr0081146.intron1
OG0002717.intron2	jg7276.t1.intron2	FBtr0224087.intron2	jg14437.t1.intron2	jg13479.t1.intron2	FBtr0081146.intron2
OG0002718.intron1	jg7275.t1.intron1	FBtr0221695.intron1	jg14436.t1.intron1	jg13480.t1.intron1	FBtr0081177.intron1
OG0002719.intron1	jg7274.t1.intron1	FBtr0352816.intron1	jg14435.t1.intron1	jg13481.t1.intron1	FBtr0302289.intron1
OG0002720.intron1	jg7273.t1.intron1	FBtr0359893.intron1	jg14434.t1.intron1	jg13482.t1.intron1	FBtr0081148.intron1
OG0002720.intron2	jg7273.t1.intron2	FBtr0359893.intron2	jg14434.t1.intron2	jg13482.t1.intron2	FBtr0081148.intron2
OG0002721.intron2	jg7272.t1.intron2	FBtr0224090.intron3	jg14433.t1.intron2	jg13483.t1.intron2	FBtr0081149.intron3
OG0002721.intron3	jg7272.t1.intron3	FBtr0224090.intron4	jg14433.t1.intron3	jg13483.t1.intron3	FBtr0081149.intron4
OG0002722.intron1	jg7271.t1.intron1	FBtr0224091.intron1	jg14432.t1.intron1	jg13484.t1.intron1	FBtr0081150.intron1
OG0002724.intron1	jg7269.t1.intron1	FBtr0221694.intron1	jg14430.t1.intron1	jg13486.t1.intron1	FBtr0081174.intron1
OG0002724.intron2	jg7269.t1.intron2	FBtr0221694.intron2	jg14430.t1.intron2	jg13486.t1.intron2	FBtr0081174.intron2
OG0002724.intron3	jg7269.t1.intron3	FBtr0221694.intron3	jg14430.t1.intron3	jg13486.t1.intron3	FBtr0081174.intron3
OG0002724.intron4	jg7269.t1.intron4	FBtr0221694.intron4	jg14430.t1.intron4	jg13486.t1.intron4	FBtr0081174.intron4
OG0002724.intron5	jg7269.t1.intron5	FBtr0221694.intron5	jg14430.t1.intron5	jg13486.t1.intron5	FBtr0081174.intron5
OG0002725.intron2	jg7268.t1.intron2	FBtr0221693.intron2	jg14429.t1.intron2	jg13487.t1.intron1	FBtr0081173.intron2
OG0002725.intron3	jg7268.t1.intron3	FBtr0221693.intron3	jg14429.t1.intron3	jg13487.t1.intron2	FBtr0081173.intron3
OG0002725.intron4	jg7268.t1.intron4	FBtr0221693.intron4	jg14429.t1.intron4	jg13487.t1.intron3	FBtr0081173.intron4
OG0002725.intron5	jg7268.t1.intron5	FBtr0221693.intron5	jg14429.t1.intron5	jg13487.t1.intron4	FBtr0081173.intron5
OG0002727.intron2	jg7258.t1.intron2	FBtr0221687.intron1	jg14418.t1.intron2	jg13496.t1.intron2	FBtr0081164.intron1
OG0002728.intron1	jg7256.t1.intron1	FBtr0224096.intron1	jg14416.t1.intron1	jg13498.t1.intron1	FBtr0081156.intron1
OG0002728.intron2	jg7256.t1.intron2	FBtr0224096.intron2	jg14416.t1.intron2	jg13498.t1.intron2	FBtr0081156.intron2
OG0002728.intron3	jg7256.t1.intron3	FBtr0224096.intron3	jg14416.t1.intron3	jg13498.t1.intron3	FBtr0081156.intron3
OG0002730.intron1	jg7254.t2.intron1	FBtr0224097.intron1	jg14413.t2.intron1	jg13500.t1.intron1	FBtr0081157.intron1
OG0002733.intron1	jg7250.t1.intron1	FBtr0224100.intron1	jg14408.t1.intron1	jg13504.t1.intron1	FBtr0081194.intron1
OG0002733.intron2	jg7250.t1.intron2	FBtr0224100.intron2	jg14408.t1.intron2	jg13504.t1.intron2	FBtr0081194.intron2
OG0002733.intron3	jg7250.t1.intron3	FBtr0224100.intron3	jg14408.t1.intron3	jg13504.t1.intron3	FBtr0081194.intron3
OG0002733.intron4	jg7250.t1.intron4	FBtr0224100.intron4	jg14408.t1.intron4	jg13504.t1.intron4	FBtr0081194.intron4
OG0002733.intron5	jg7250.t1.intron5	FBtr0224100.intron5	jg14408.t1.intron5	jg13504.t1.intron5	FBtr0081194.intron5
OG0002733.intron6	jg7250.t1.intron6	FBtr0224100.intron6	jg14408.t1.intron6	jg13504.t1.intron6	FBtr0081194.intron6
OG0002736.intron1	jg7238.t1.intron1	FBtr0224106.intron1	jg14398.t1.intron1	jg13514.t1.intron1	FBtr0081198.intron1
OG0002736.intron2	jg7238.t1.intron2	FBtr0224106.intron2	jg14398.t1.intron2	jg13514.t1.intron2	FBtr0081198.intron2
OG0002736.intron3	jg7238.t1.intron3	FBtr0224106.intron3	jg14398.t1.intron3	jg13514.t1.intron3	FBtr0081198.intron3
OG0002738.intron3	jg7235.t1.intron3	FBtr0221675.intron2	jg14395.t1.intron3	jg13519.t1.intron2	FBtr0081221.intron2
OG0002739.intron1	jg7234.t1.intron1	FBtr0351719.intron1	jg14394.t1.intron1	jg13520.t1.intron1	FBtr0081216.intron1
OG0002739.intron2	jg7234.t1.intron2	FBtr0351719.intron2	jg14394.t1.intron2	jg13520.t1.intron2	FBtr0081216.intron2
OG0002739.intron3	jg7234.t1.intron3	FBtr0351719.intron3	jg14394.t1.intron3	jg13520.t1.intron3	FBtr0081216.intron3
OG0002739.intron4	jg7234.t1.intron4	FBtr0351719.intron4	jg14394.t1.intron4	jg13520.t1.intron4	FBtr0081216.intron4
OG0002740.intron1	jg7233.t1.intron1	FBtr0224109.intron1	jg14393.t1.intron1	jg13521.t1.intron1	FBtr0081200.intron1
OG0002740.intron2	jg7233.t1.intron2	FBtr0224109.intron2	jg14393.t1.intron2	jg13521.t1.intron2	FBtr0081200.intron2
OG0002741.intron1	jg7232.t2.intron1	FBtr0354269.intron1	jg14392.t1.intron1	jg13522.t1.intron1	FBtr0081211.intron1
OG0002741.intron2	jg7232.t2.intron2	FBtr0354269.intron2	jg14392.t1.intron2	jg13522.t1.intron2	FBtr0081211.intron2
OG0002741.intron3	jg7232.t2.intron3	FBtr0354269.intron3	jg14392.t1.intron3	jg13522.t1.intron3	FBtr0081211.intron3
OG0002741.intron4	jg7232.t2.intron4	FBtr0354269.intron4	jg14392.t1.intron4	jg13522.t1.intron4	FBtr0081211.intron4
OG0002741.intron5	jg7232.t2.intron5	FBtr0354269.intron5	jg14392.t1.intron5	jg13522.t1.intron5	FBtr0081211.intron5
OG0002741.intron6	jg7232.t2.intron6	FBtr0354269.intron6	jg14392.t1.intron6	jg13522.t1.intron6	FBtr0081211.intron6
OG0002741.intron7	jg7232.t2.intron7	FBtr0354269.intron7	jg14392.t1.intron7	jg13522.t1.intron7	FBtr0081211.intron7
OG0002742.intron1	jg7231.t1.intron1	FBtr0224110.intron1	jg14391.t1.intron1	jg13523.t1.intron1	FBtr0081201.intron1
OG0002746.intron1	jg7223.t1.intron1	FBtr0221669.intron1	jg14384.t3.intron1	jg13529.t1.intron1	FBtr0081288.intron1
OG0002746.intron2	jg7223.t1.intron2	FBtr0221669.intron2	jg14384.t3.intron2	jg13529.t1.intron2	FBtr0081288.intron2
OG0002746.intron3	jg7223.t1.intron3	FBtr0221669.intron3	jg14384.t3.intron3	jg13529.t1.intron3	FBtr0081288.intron3
OG0002747.intron1	jg7222.t1.intron1	FBtr0359545.intron1	jg14383.t1.intron1	jg13530.t1.intron1	FBtr0081234.intron1
OG0002747.intron2	jg7222.t1.intron2	FBtr0359545.intron2	jg14383.t1.intron2	jg13530.t1.intron2	FBtr0081234.intron2
OG0002747.intron3	jg7222.t1.intron3	FBtr0359545.intron3	jg14383.t1.intron3	jg13530.t1.intron3	FBtr0081234.intron3
OG0002747.intron4	jg7222.t1.intron4	FBtr0359545.intron4	jg14383.t1.intron4	jg13530.t1.intron4	FBtr0081234.intron4
OG0002748.intron2	jg7221.t1.intron2	FBtr0360940.intron1	jg14382.t1.intron1	jg13531.t1.intron2	FBtr0081287.intron1
OG0002748.intron4	jg7221.t1.intron4	FBtr0360940.intron3	jg14382.t1.intron4	jg13531.t1.intron4	FBtr0081287.intron3
OG0002749.intron3	jg7219.t1.intron3	FBtr0224118.intron3	jg14381.t1.intron3	jg13532.t1.intron2	FBtr0081237.intron3
OG0002749.intron4	jg7219.t1.intron4	FBtr0224118.intron4	jg14381.t1.intron4	jg13532.t1.intron3	FBtr0081237.intron4
OG0002749.intron5	jg7219.t1.intron5	FBtr0224118.intron5	jg14381.t1.intron5	jg13532.t1.intron4	FBtr0081237.intron5
OG0002750.intron3	jg7217.t1.intron3	FBtr0363450.intron3	jg14379.t1.intron3	jg13534.t1.intron3	FBtr0302930.intron3
OG0002750.intron4	jg7217.t1.intron4	FBtr0363450.intron4	jg14379.t1.intron4	jg13534.t1.intron4	FBtr0302930.intron4
OG0002750.intron5	jg7217.t1.intron5	FBtr0363450.intron5	jg14379.t1.intron5	jg13534.t1.intron5	FBtr0302930.intron5
OG0002751.intron1	jg7214.t1.intron1	FBtr0221665.intron1	jg14377.t1.intron1	jg13537.t1.intron1	FBtr0081285.intron1
OG0002751.intron2	jg7214.t1.intron2	FBtr0221665.intron2	jg14377.t1.intron2	jg13537.t1.intron2	FBtr0081285.intron2
OG0002751.intron3	jg7214.t1.intron3	FBtr0221665.intron3	jg14377.t1.intron3	jg13537.t1.intron3	FBtr0081285.intron3
OG0002754.intron1	jg7211.t2.intron1	FBtr0353813.intron1	jg14374.t2.intron1	jg13540.t1.intron1	FBtr0331325.intron1
OG0002754.intron2	jg7211.t2.intron2	FBtr0353813.intron2	jg14374.t2.intron2	jg13540.t1.intron2	FBtr0331325.intron2
OG0002754.intron3	jg7211.t2.intron3	FBtr0353813.intron3	jg14374.t2.intron3	jg13540.t1.intron3	FBtr0331325.intron3
OG0002754.intron4	jg7211.t2.intron4	FBtr0353813.intron4	jg14374.t2.intron4	jg13540.t1.intron4	FBtr0331325.intron4
OG0002755.intron2	jg7210.t1.intron2	FBtr0359814.intron2	jg14373.t1.intron2	jg13541.t1.intron2	FBtr0081246.intron2
OG0002756.intron1	jg7209.t1.intron1	FBtr0221662.intron1	jg14372.t1.intron1	jg13542.t1.intron1	FBtr0329963.intron1
OG0002757.intron1	jg7207.t1.intron1	FBtr0358143.intron1	jg14369.t1.intron1	jg13545.t1.intron1	FBtr0081247.intron1
OG0002757.intron2	jg7207.t1.intron2	FBtr0358143.intron2	jg14369.t1.intron2	jg13545.t1.intron2	FBtr0081247.intron2
OG0002757.intron3	jg7207.t1.intron3	FBtr0358143.intron3	jg14369.t1.intron3	jg13545.t1.intron3	FBtr0081247.intron3
OG0002757.intron4	jg7207.t1.intron4	FBtr0358143.intron4	jg14369.t1.intron4	jg13545.t1.intron4	FBtr0081247.intron4
OG0002757.intron5	jg7207.t1.intron5	FBtr0358143.intron5	jg14369.t1.intron5	jg13545.t1.intron5	FBtr0081247.intron5
OG0002757.intron6	jg7207.t1.intron6	FBtr0358143.intron6	jg14369.t1.intron6	jg13545.t1.intron6	FBtr0081247.intron6
OG0002757.intron7	jg7207.t1.intron7	FBtr0358143.intron7	jg14369.t1.intron7	jg13545.t1.intron7	FBtr0081247.intron7
OG0002757.intron8	jg7207.t1.intron8	FBtr0358143.intron8	jg14369.t1.intron8	jg13545.t1.intron8	FBtr0081247.intron8
OG0002758.intron2	jg7206.t1.intron2	FBtr0221658.intron2	jg14368.t1.intron2	jg13546.t1.intron2	FBtr0081279.intron2
OG0002759.intron2	jg7204.t1.intron2	FBtr0364069.intron2	jg14366.t1.intron2	jg13548.t1.intron2	FBtr0081248.intron2
OG0002759.intron5	jg7204.t1.intron5	FBtr0364069.intron5	jg14366.t1.intron5	jg13548.t1.intron5	FBtr0081248.intron5
OG0002759.intron6	jg7204.t1.intron6	FBtr0364069.intron6	jg14366.t1.intron6	jg13548.t1.intron6	FBtr0081248.intron6
OG0002759.intron7	jg7204.t1.intron7	FBtr0364069.intron7	jg14366.t1.intron7	jg13548.t1.intron7	FBtr0081248.intron7
OG0002760.intron1	jg7205.t1.intron1	FBtr0221657.intron1	jg14367.t1.intron1	jg13547.t1.intron1	FBtr0081277.intron1
OG0002760.intron2	jg7205.t1.intron2	FBtr0221657.intron2	jg14367.t1.intron2	jg13547.t1.intron2	FBtr0081277.intron2
OG0002761.intron2	jg7203.t1.intron2	FBtr0350729.intron2	jg14365.t1.intron2	jg13549.t1.intron2	FBtr0081249.intron2
OG0002761.intron3	jg7203.t1.intron3	FBtr0350729.intron3	jg14365.t1.intron3	jg13549.t1.intron3	FBtr0081249.intron3
OG0002763.intron2	jg7200.t1.intron2	FBtr0224132.intron2	jg14363.t1.intron3	jg13553.t1.intron2	FBtr0081253.intron2
OG0002764.intron1	jg7199.t1.intron1	FBtr0221656.intron1	jg14362.t1.intron1	jg13554.t1.intron1	FBtr0081276.intron1
OG0002765.intron1	jg7196.t1.intron1	FBtr0224137.intron1	jg14356.t1.intron1	jg13558.t1.intron1	FBtr0081257.intron1
OG0002765.intron2	jg7196.t1.intron2	FBtr0224137.intron2	jg14356.t1.intron2	jg13558.t1.intron2	FBtr0081257.intron2
OG0002769.intron1	jg7192.t1.intron1	FBtr0358898.intron1	jg14351.t1.intron1	jg13563.t1.intron1	FBtr0331246.intron1
OG0002770.intron2	jg7190.t1.intron2	FBtr0224139.intron2	jg14349.t1.intron2	jg13565.t1.intron2	FBtr0081259.intron2
OG0002771.intron2	jg7187.t1.intron2	FBtr0347817.intron6	jg14346.t1.intron2	jg13568.t1.intron2	FBtr0331239.intron5
OG0002771.intron5	jg7187.t1.intron5	FBtr0347817.intron10	jg14346.t1.intron5	jg13568.t1.intron5	FBtr0331239.intron9
OG0002771.intron6	jg7187.t1.intron6	FBtr0347817.intron11	jg14346.t1.intron6	jg13568.t1.intron6	FBtr0331239.intron10
OG0002771.intron7	jg7187.t1.intron7	FBtr0347817.intron12	jg14346.t1.intron7	jg13568.t1.intron7	FBtr0331239.intron11
OG0002771.intron8	jg7187.t1.intron8	FBtr0347817.intron13	jg14346.t1.intron8	jg13568.t1.intron8	FBtr0331239.intron12
OG0002771.intron9	jg7187.t1.intron9	FBtr0347817.intron14	jg14346.t1.intron9	jg13568.t1.intron9	FBtr0331239.intron13
OG0002771.intron10	jg7187.t1.intron10	FBtr0347817.intron15	jg14346.t1.intron10	jg13568.t1.intron10	FBtr0331239.intron14
OG0002771.intron11	jg7187.t1.intron11	FBtr0347817.intron16	jg14346.t1.intron11	jg13568.t1.intron11	FBtr0331239.intron15
OG0002771.intron12	jg7187.t1.intron12	FBtr0347817.intron17	jg14346.t1.intron12	jg13568.t1.intron12	FBtr0331239.intron16
OG0002771.intron13	jg7187.t1.intron13	FBtr0347817.intron18	jg14346.t1.intron13	jg13568.t1.intron13	FBtr0331239.intron17
OG0002774.intron1	jg7184.t1.intron1	FBtr0353420.intron1	jg14343.t1.intron1	jg13571.t1.intron1	FBtr0081289.intron1
OG0002774.intron2	jg7184.t1.intron2	FBtr0353420.intron2	jg14343.t1.intron2	jg13571.t1.intron2	FBtr0081289.intron2
OG0002775.intron2	jg7182.t1.intron2	FBtr0363856.intron3	jg14341.t1.intron2	jg13573.t1.intron2	FBtr0081324.intron2
OG0002777.intron1	jg7180.t1.intron1	FBtr0224142.intron1	jg14339.t1.intron1	jg13575.t1.intron1	FBtr0081290.intron1
OG0002777.intron2	jg7180.t1.intron2	FBtr0224142.intron2	jg14339.t1.intron2	jg13575.t1.intron2	FBtr0081290.intron2
OG0002777.intron3	jg7180.t1.intron3	FBtr0224142.intron3	jg14339.t1.intron3	jg13575.t1.intron3	FBtr0081290.intron3
OG0002779.intron3	jg7178.t1.intron3	FBtr0221644.intron3	jg14337.t1.intron3	jg13577.t1.intron3	FBtr0089320.intron3
OG0002780.intron5	jg7177.t1.intron5	FBtr0354436.intron5	jg14336.t1.intron5	jg13578.t1.intron5	FBtr0081318.intron5
OG0002782.intron1	jg7175.t1.intron1	FBtr0221642.intron1	jg14334.t1.intron1	jg13580.t1.intron1	FBtr0081316.intron1
OG0002782.intron2	jg7175.t1.intron2	FBtr0221642.intron2	jg14334.t1.intron2	jg13580.t1.intron2	FBtr0081316.intron2
OG0002782.intron3	jg7175.t1.intron3	FBtr0221642.intron3	jg14334.t1.intron3	jg13580.t1.intron3	FBtr0081316.intron3
OG0002784.intron4	jg7171.t1.intron2	FBtr0355664.intron4	jg14331.t1.intron2	jg13583.t1.intron2	FBtr0329845.intron4
OG0002784.intron5	jg7171.t1.intron3	FBtr0355664.intron5	jg14331.t1.intron3	jg13583.t1.intron3	FBtr0329845.intron5
OG0002784.intron6	jg7171.t1.intron4	FBtr0355664.intron6	jg14331.t1.intron4	jg13583.t1.intron4	FBtr0329845.intron6
OG0002784.intron7	jg7171.t1.intron5	FBtr0355664.intron7	jg14331.t1.intron5	jg13583.t1.intron5	FBtr0329845.intron7
OG0002784.intron8	jg7171.t1.intron6	FBtr0355664.intron8	jg14331.t1.intron6	jg13583.t1.intron6	FBtr0329845.intron8
OG0002784.intron10	jg7171.t1.intron8	FBtr0355664.intron11	jg14331.t1.intron8	jg13583.t1.intron8	FBtr0329845.intron10
OG0002785.intron3	jg7169.t1.intron3	FBtr0224146.intron1	jg14329.t1.intron3	jg13585.t1.intron3	FBtr0081300.intron1
OG0002786.intron1	jg7168.t1.intron1	FBtr0221637.intron1	jg14328.t1.intron1	jg13586.t1.intron1	FBtr0100106.intron1
OG0002786.intron2	jg7168.t1.intron2	FBtr0221637.intron2	jg14328.t1.intron2	jg13586.t1.intron2	FBtr0100106.intron2
OG0002789.intron1	jg7165.t1.intron1	FBtr0224148.intron1	jg14325.t1.intron1	jg13589.t1.intron1	FBtr0081303.intron1
OG0002789.intron2	jg7165.t1.intron2	FBtr0224148.intron2	jg14325.t1.intron2	jg13589.t1.intron2	FBtr0081303.intron2
OG0002789.intron3	jg7165.t1.intron3	FBtr0224148.intron3	jg14325.t1.intron3	jg13589.t1.intron3	FBtr0081303.intron3
OG0002789.intron4	jg7165.t1.intron4	FBtr0224148.intron4	jg14325.t1.intron4	jg13589.t1.intron4	FBtr0081303.intron4
OG0002789.intron5	jg7165.t1.intron5	FBtr0224148.intron5	jg14325.t1.intron5	jg13589.t1.intron5	FBtr0081303.intron5
OG0002790.intron1	jg7164.t1.intron1	FBtr0221634.intron1	jg14324.t1.intron1	jg13590.t1.intron1	FBtr0081306.intron1
OG0002793.intron1	jg7160.t1.intron1	FBtr0224150.intron1	jg14320.t1.intron1	jg13594.t1.intron1	FBtr0081327.intron1
OG0002795.intron1	jg7156.t1.intron1	FBtr0365273.intron1	jg14312.t1.intron1	jg13598.t1.intron1	FBtr0331184.intron1
OG0002795.intron2	jg7156.t1.intron2	FBtr0365273.intron2	jg14312.t1.intron2	jg13598.t1.intron2	FBtr0331184.intron2
OG0002796.intron1	jg7153.t1.intron1	FBtr0349258.intron1	jg14309.t1.intron1	jg13601.t1.intron1	FBtr0089395.intron1
OG0002796.intron2	jg7153.t1.intron2	FBtr0349258.intron2	jg14309.t1.intron2	jg13601.t1.intron2	FBtr0089395.intron2
OG0002796.intron3	jg7153.t1.intron3	FBtr0349258.intron3	jg14309.t1.intron3	jg13601.t1.intron3	FBtr0089395.intron3
OG0002798.intron1	jg7151.t1.intron1	FBtr0221626.intron1	jg14307.t1.intron1	jg13603.t1.intron1	FBtr0310558.intron1
OG0002799.intron1	jg7149.t1.intron1	FBtr0221625.intron1	jg14305.t1.intron1	jg13605.t1.intron1	FBtr0081341.intron1
OG0002801.intron2	jg7147.t1.intron2	FBtr0211872.intron2	jg14303.t1.intron2	jg13607.t1.intron2	FBtr0081340.intron2
OG0002803.intron1	jg7145.t1.intron1	FBtr0221624.intron1	jg14301.t1.intron1	jg13609.t1.intron1	FBtr0081338.intron1
OG0002804.intron3	jg7144.t1.intron3	FBtr0224156.intron2	jg14300.t1.intron3	jg13610.t1.intron3	FBtr0081336.intron2
OG0002804.intron4	jg7144.t1.intron4	FBtr0224156.intron3	jg14300.t1.intron4	jg13610.t1.intron4	FBtr0081336.intron3
OG0002804.intron5	jg7144.t1.intron5	FBtr0224156.intron4	jg14300.t1.intron5	jg13610.t1.intron5	FBtr0081336.intron4
OG0002809.intron7	jg7138.t2.intron7	FBtr0353399.intron7	jg14293.t2.intron8	jg13618.t1.intron7	FBtr0081352.intron7
OG0002809.intron8	jg7138.t2.intron8	FBtr0353399.intron8	jg14293.t2.intron9	jg13618.t1.intron8	FBtr0081352.intron8
OG0002809.intron9	jg7138.t2.intron9	FBtr0353399.intron9	jg14293.t2.intron10	jg13618.t1.intron9	FBtr0081352.intron9
OG0002809.intron12	jg7138.t2.intron12	FBtr0353399.intron12	jg14293.t2.intron13	jg13618.t1.intron12	FBtr0081352.intron12
OG0002809.intron13	jg7138.t2.intron13	FBtr0353399.intron13	jg14293.t2.intron14	jg13618.t1.intron13	FBtr0081352.intron13
OG0002809.intron14	jg7138.t2.intron14	FBtr0353399.intron14	jg14293.t2.intron15	jg13618.t1.intron14	FBtr0081352.intron14
OG0002809.intron15	jg7138.t2.intron15	FBtr0353399.intron15	jg14293.t2.intron16	jg13618.t1.intron15	FBtr0081352.intron15
OG0002809.intron16	jg7138.t2.intron16	FBtr0353399.intron16	jg14293.t2.intron17	jg13618.t1.intron16	FBtr0081352.intron16
OG0002810.intron1	jg7137.t1.intron1	FBtr0353164.intron1	jg14292.t1.intron1	jg13619.t1.intron1	FBtr0081374.intron1
OG0002811.intron1	jg7136.t1.intron1	FBtr0347857.intron1	jg14291.t1.intron1	jg13620.t1.intron1	FBtr0336747.intron1
OG0002811.intron2	jg7136.t1.intron2	FBtr0347857.intron2	jg14291.t1.intron2	jg13620.t1.intron2	FBtr0336747.intron2
OG0002811.intron3	jg7136.t1.intron3	FBtr0347857.intron3	jg14291.t1.intron3	jg13620.t1.intron3	FBtr0336747.intron3
OG0002812.intron2	jg7134.t1.intron2	FBtr0221615.intron3	jg14289.t1.intron3	jg13623.t1.intron3	FBtr0081371.intron3
OG0002812.intron3	jg7134.t1.intron3	FBtr0221615.intron4	jg14289.t1.intron4	jg13623.t1.intron4	FBtr0081371.intron4
OG0002814.intron1	jg7132.t1.intron1	FBtr0221613.intron1	jg14287.t1.intron1	jg13625.t1.intron1	FBtr0081367.intron1
OG0002815.intron1	jg7131.t1.intron1	FBtr0224165.intron1	jg14286.t1.intron1	jg13626.t1.intron1	FBtr0081358.intron1
OG0002815.intron2	jg7131.t1.intron2	FBtr0224165.intron2	jg14286.t1.intron2	jg13626.t1.intron2	FBtr0081358.intron2
OG0002815.intron3	jg7131.t1.intron3	FBtr0224165.intron3	jg14286.t1.intron3	jg13626.t1.intron3	FBtr0081358.intron3
OG0002815.intron4	jg7131.t1.intron4	FBtr0224165.intron4	jg14286.t1.intron4	jg13626.t1.intron4	FBtr0081358.intron4
OG0002815.intron5	jg7131.t1.intron5	FBtr0224165.intron5	jg14286.t1.intron5	jg13626.t1.intron5	FBtr0081358.intron5
OG0002815.intron6	jg7131.t1.intron6	FBtr0224165.intron6	jg14286.t1.intron6	jg13626.t1.intron6	FBtr0081358.intron6
OG0002815.intron7	jg7131.t1.intron7	FBtr0224165.intron7	jg14286.t1.intron7	jg13626.t1.intron7	FBtr0081358.intron7
OG0002822.intron1	jg7113.t1.intron1	FBtr0353845.intron1	jg14269.t1.intron1	jg13642.t1.intron1	FBtr0081403.intron1
OG0002822.intron2	jg7113.t1.intron2	FBtr0353845.intron2	jg14269.t1.intron2	jg13642.t1.intron2	FBtr0081403.intron2
OG0002822.intron3	jg7113.t1.intron3	FBtr0353845.intron3	jg14269.t1.intron3	jg13642.t1.intron3	FBtr0081403.intron3
OG0002822.intron4	jg7113.t1.intron4	FBtr0353845.intron4	jg14269.t1.intron4	jg13642.t1.intron4	FBtr0081403.intron4
OG0002822.intron5	jg7113.t1.intron5	FBtr0353845.intron5	jg14269.t1.intron5	jg13642.t1.intron5	FBtr0081403.intron5
OG0002822.intron6	jg7113.t1.intron6	FBtr0353845.intron6	jg14269.t1.intron6	jg13642.t1.intron6	FBtr0081403.intron6
OG0002822.intron7	jg7113.t1.intron7	FBtr0353845.intron7	jg14269.t1.intron7	jg13642.t1.intron7	FBtr0081403.intron7
OG0002822.intron8	jg7113.t1.intron8	FBtr0353845.intron8	jg14269.t1.intron8	jg13642.t1.intron8	FBtr0081403.intron8
OG0002822.intron9	jg7113.t1.intron9	FBtr0353845.intron9	jg14269.t1.intron9	jg13642.t1.intron9	FBtr0081403.intron9
OG0002823.intron1	jg7112.t1.intron1	FBtr0224183.intron1	jg14268.t1.intron1	jg13643.t1.intron1	FBtr0081388.intron1
OG0002823.intron2	jg7112.t1.intron2	FBtr0224183.intron2	jg14268.t1.intron2	jg13643.t1.intron2	FBtr0081388.intron2
